ID,Name,Category,Description
10646,地精工兵炸药,A-BOOM,工程炸药
18641,致密炸药,A-BOOM,工程炸药
4390,铁皮手雷,A-BOOM,工程炸药
15993,瑟银手榴弹,A-BOOM,工程炸药
10514,秘银破片炸弹,A-BOOM,工程炸药
10588,高爆炸弹,A-BOOM,工程炸药
16005,黑铁炸弹,A-BOOM,工程炸药
16040,奥术炸弹,A-BOOM,工程炸药
13180,斯坦索姆圣水,A-BOOM,斯坦索姆圣水
4374,活动假人,A-BOOM,工程炸弹类
4384,高级假人,A-BOOM,工程炸弹类
16024,大师级假人,A-BOOM,工程炸弹类
4365,粗制火药粉,A-BOOM,材料(工程)
4377,劣质炸药,A-BOOM,工程炸药
4357,劣质火药粉,A-BOOM,材料(工程)
4358,微型发条装置,A-BOOM,材料(工程)
4366,活动假人,A-BOOM,假人
4370,大炸弹,A-BOOM,工程炸药
4380,青铜管,A-BOOM,材料(工程)
4394,大铁炸弹,A-BOOM,工程炸药
7732,实心炸药,A-BOOM,工程炸药
8146,地精火箭靴,A-BOOM,工程炸药
8151,发条娃娃,A-BOOM,假人
10513,秘银外壳,A-BOOM,材料(工程)
10560,不牢固的扳机,A-BOOM,材料(工程)
10577,地精迫击炮,A-BOOM,工程炸药
10586,活动假人图纸,A-BOOM,假人
10589,简易投掷炸弹,A-BOOM,工程炸药
10644,便携式青铜迫击炮,A-BOOM,工程炸药
18631,真银变压器,A-BOOM,材料(工程)
18637,魔铁外壳,A-BOOM,材料(工程)
23737,精金框架,A-BOOM,材料(工程)
23781,氪金能量核心,A-BOOM,材料(工程)
23811,爆盐炸弹,A-BOOM,工程炸药
23814,魔铁炸弹,A-BOOM,工程炸药
23815,精金手雷,A-BOOM,工程炸药
23826,超神风炸药,A-BOOM,工程炸药
23841,冰霜手雷,A-BOOM,工程炸药
33633,钴质破片炸弹,A-BOOM,工程炸药
33634,萨隆邪铁炸弹,A-BOOM,工程炸药
40536,全局热力工程炸药,A-BOOM,工程炸药
40771,钴质手雷,A-BOOM,工程炸药
