ID,Name,Category,Description
9187,强效敏捷药剂,A-AD,敏捷+25，持续1小时
9206,巨人药剂,A-AD,力量+25，持续1小时
9224,屠魔药剂,A-AD,对恶魔的攻击强度+265，持续5分钟
12451,魂能之力,A-AD,力量+30，持续30分钟
12460,魂能之击,A-AD,攻击速度+3%，持续10分钟
12820,冬泉火酒,A-AD,近战攻击强度+35，体型变大，持续20分钟
13452,猫鼬药剂,A-AD,敏捷+25，暴击率+2%，持续1小时
13453,蛮力药剂,A-AD,力量+18，耐力+18，持续1小时
13810,神圣太阳果,A-AD,力量+10，持续10分钟（银色黎明）
13928,烤鱿鱼,A-AD,敏捷+10，持续10分钟(烹饪)
20452,沙漠肉丸子,A-AD,力量+20，持续15分钟(烹饪)
22237,黑色欲望,A-AD,物理命中+2%，持续1小时(情人节)
23327,火烤甜面包,A-AD,物理命中+2%，持续1小时(仲夏火焰节)
6373,火力药剂,A-AP,火焰法术伤害+15，持续30分钟
9155,奥法药剂,A-AP,法术伤害+20，持续30分钟
9264,暗影之力药剂,A-AP,暗影法术伤害+40，持续30分钟
13454,强效奥法药剂,A-AP,法术伤害+35，持续1小时
17708,冰霜之力药剂,A-AP,冰霜法术伤害+15，持续30分钟
21546,强效火力药剂,A-AP,火焰法术伤害+40，持续1小时
22238,水果芬芳,A-AP,法术伤害+23，持续1小时(情人节)
23326,仲夏腊肠,A-AP,法术伤害+23，持续1小时(仲夏火焰节)
1191,弹子球,A-功能,使目标近战命中率降低25%，持续10秒
2459,迅捷药水,A-功能,移动速度提高50%，持续15秒
3387,有限无敌药水,A-功能,物理免疫，持续6秒
3823,次级隐形药水,A-功能,隐形，持续15秒
4623,次级石盾药水,A-功能,护甲+1000，持续1.5分钟
5631,怒气药水,A-功能,增加20-40怒气
5633,暴怒药水,A-功能,增加30-60怒气
5634,自由行动药剂,A-功能,免疫昏迷和移动限制，持续30秒
5951,潮湿的毛巾,A-功能,驱散1个魔法和1个疾病效果
6372,速游药水,A-功能,游泳速度提高100%，持续20秒
6657,美味风蛇,A-功能,变身海盗或忍者，持续1小时
6662,增长药剂,A-功能,体型变大，力量+8，持续2分钟
8529,诺格弗格药剂,A-功能,变骷髅/变小/缓落，持续10分钟
8827,水下行走药剂,A-功能,能在水面行走，持续10分钟
8956,献祭之油,A-功能,每3秒对周围造成火焰伤害，持续15秒
9030,滋补药剂,A-功能,每5秒驱散一次负面效果，持续30秒
9172,隐形药水,A-功能,隐形，持续18秒
10592,猫眼药剂,A-功能,潜行侦测能力提升，持续10分钟
12217,龙息红椒,A-功能,近战攻击时有几率喷吐烈焰，持续10分钟(烹饪)
13442,强效怒气药水,A-功能,增加45-75怒气，力量+60持续20秒
13455,强效石盾药水,A-功能,护甲+2000，持续2分钟
13462,净化药水,A-功能,驱散所有魔法、诅咒、中毒和疾病
19440,特效抗毒药剂,A-功能,驱散60级以下毒药效果(银色黎明)
20008,活力行动药水,A-功能,免疫并解除昏迷和移动限制，持续5秒
13506,化石合剂,A-合剂,无敌并无法行动，持续1分钟
13510,泰坦合剂,A-合剂,生命上限+1200，持续2小时(死后不消失)
13511,精炼智慧合剂,A-合剂,法力上限+2000，持续2小时(死后不消失)
13512,超级能量合剂,A-合剂,法术伤害+150，持续2小时(死后不消失)
13513,多重抗性合剂,A-合剂,所有抗性+25，持续2小时(死后不消失)
3386,抗毒药剂,A-属性,解除最多4个中毒效果
3825,坚韧药剂,A-属性,生命上限+120，持续1小时
3828,侦测次级隐形药剂,A-属性,侦测次级隐形，持续10分钟
5996,水下呼吸药剂,A-属性,水下呼吸，持续30分钟
6048,暗影防护药水,A-属性,吸收675-1125暗影伤害，持续1小时
6049,火焰防护药水,A-属性,吸收675-1125火焰伤害，持续1小时
