ID,Name,Category
774,孔雀石,B-宝石
818,虎眼石,B-宝石
1206,绿玛瑙,B-宝石
1210,暗影石,B-宝石
1529,翡翠,B-宝石
1705,次级月亮石,B-宝石
3864,黄水晶,B-宝石
5498,有光泽的小珍珠,B-宝石
5500,彩色珍珠,B-宝石
7909,青绿石,B-宝石
7910,红宝石,B-宝石
7971,黑珍珠,B-宝石
12361,蓝宝石,B-宝石
12363,奥术水晶,B-宝石
12364,巨型绿宝石,B-宝石
12800,艾泽拉斯钻石,B-宝石
12809,守护之石,B-宝石
13926,金珍珠,B-宝石
19726,血藤,B-宝石
2589,亚麻布,B-布
2592,毛料,B-布
2996,亚麻布卷,B-布
3182,蜘蛛丝,B-布
4305,丝绸卷,B-布
4306,丝绸,B-布
4337,粗蜘蛛丝,B-布
4338,魔纹布,B-布
4339,魔纹布卷,B-布
14047,符文布,B-布
14048,符文布卷,B-布
14227,铁网蛛丝,B-布
14256,恶魔布,B-布
14342,月布,B-布
783,轻毛皮,B-皮
2318,轻皮,B-皮
2319,中皮,B-皮
4231,熟化轻毛皮,B-皮
4232,中毛皮,B-皮
4233,熟化中毛皮,B-皮
4234,重皮,B-皮
4235,重毛皮,B-皮
4236,熟化重毛皮,B-皮
4304,厚皮,B-皮
8150,石中盐,B-皮
8167,龟壳,B-皮
8169,厚毛皮,B-皮
8170,硬甲皮,B-皮
8171,硬甲毛皮,B-皮
8172,熟化厚毛皮,B-皮
15407,熟化毛皮,B-皮
17012,熔火犬皮,B-皮
2770,铜矿石,B-矿
2771,锡矿石,B-矿
2772,铁矿石,B-矿
2775,银矿石,B-矿
2776,金矿石,B-矿
2835,劣质的石头,B-矿
2836,粗糙的石头,B-矿
2838,沉重的石头,B-矿
2840,铜锭,B-矿
2841,青铜锭,B-矿
2842,银锭,B-矿
3575,铁锭,B-矿
3576,锡锭,B-矿
3577,金锭,B-矿
3858,秘银矿石,B-矿
3859,钢锭,B-矿
3860,秘银锭,B-矿
6037,真银锭,B-矿
7067,元素之土,B-矿
7911,真银矿石,B-矿
7912,坚固的石头,B-矿
10620,瑟银矿石,B-矿
11370,黑铁矿石,B-矿
11371,黑铁锭,B-矿
11382,山脉之血,B-矿
12359,瑟银锭,B-矿
12360,奥金锭,B-矿
12655,魔化瑟银锭,B-矿
17771,源质锭,B-矿
2447,宁神花,B-草
2449,地根草,B-草
2450,石南草,B-草
2452,雨燕草,B-草
2453,跌打草,B-草
3355,野钢花,B-草
3356,皇血草,B-草
3357,活根草,B-草
3358,卡德加的胡须,B-草
3369,墓地苔,B-草
3818,枯叶草,B-草
3819,冬刺草,B-草
3820,荆棘藻,B-草
3821,金棘草,B-草
4625,火焰花,B-草
8831,紫莲花,B-草
8836,阿尔萨斯之泪,B-草
8838,太阳草,B-草
8839,盲目草,B-草
8845,幽灵菇,B-草
8846,格罗姆之血,B-草
13463,梦叶草,B-草
13464,黄金参,B-草
13465,山鼠草,B-草
13466,瘟疫花,B-草
13467,冰盖草,B-草
13468,黑莲花,B-草
6291,新鲜的美味小鱼,B-鱼
6303,新鲜的滑皮鲭鱼,B-鱼
6308,新鲜的刺须鲶鱼,B-鱼
6317,新鲜的洛克湖狂鱼,B-鱼
6358,黑口鱼,B-鱼
6361,新鲜的彩鳍鱼,B-鱼
6362,新鲜的石鳞鳕鱼,B-鱼
6522,变异鱼,B-鱼
8365,新鲜的银头鲑鱼,B-鱼
8366,浮肿的鲑鱼,B-鱼
8957,刺脊比目鱼,B-鱼
8959,新鲜的刺脊比目鱼,B-鱼
13754,新鲜的光滑大鱼,B-鱼
13755,冬鱿鱼,B-鱼
13756,新鲜的夏日鲈鱼,B-鱼
13758,新鲜的红腮鱼,B-鱼
13759,新鲜的夜鳞鲷鱼,B-鱼
13760,新鲜的阳鳞鲑鱼,B-鱼
13888,黑爪龙虾,B-鱼
13889,新鲜的白鳞鲑鱼,B-鱼
13893,新鲜的大鱼,B-鱼
21071,新鲜的鼠尾鱼,B-鱼
21153,新鲜的大鼠尾鱼,B-鱼
21217,美味鼠尾鱼,B-鱼
0,占位附魔物品,B-附魔
