ID,Name,Category
22416,无畏胸甲,T3
22417,无畏腿铠,T3
22418,无畏头盔,T3
22419,无畏肩铠,T3
22420,无畏马靴,T3
22421,无畏手套,T3
22422,无畏腰带,T3
22423,无畏护腕,T3
22424,救赎护腕,T3
22425,救赎外套,T3
22426,救赎护手,T3
22427,救赎腿甲,T3
22428,救赎头饰,T3
22429,救赎肩铠,T3
22430,救赎长靴,T3
22431,救赎束带,T3
22436,地穴追猎者外套,T3
22437,地穴追猎者护腿,T3
22438,地穴追猎者头饰,T3
22439,地穴追猎者肩甲,T3
22440,地穴追猎者长靴,T3
22441,地穴追猎者护手,T3
22442,地穴追猎者束带,T3
22443,地穴追猎者护腕,T3
22464,碎地者外套,T3
22465,碎地者腿甲,T3
22466,碎地者头饰,T3
22467,碎地者肩饰,T3
22468,碎地者长靴,T3
22469,碎地者护手,T3
22470,碎地者束带,T3
22471,碎地者护腕,T3
22476,骨镰胸甲,T3
22477,骨镰腿甲,T3
22478,骨镰头盔,T3
22479,骨镰肩铠,T3
22480,骨镰马靴,T3
22481,骨镰护手,T3
22482,骨镰护腰,T3
22483,骨镰护腕,T3
22488,梦游者外套,T3
22489,梦游者护腿,T3
22490,梦游者头饰,T3
22491,梦游者肩饰,T3
22492,梦游者长靴,T3
22493,梦游者护手,T3
22494,梦游者束带,T3
22495,梦游者腕甲,T3
22496,霜火长袍,T3
22497,霜火护腿,T3
22498,霜火头饰,T3
22499,霜火肩垫,T3
22500,霜火便鞋,T3
22501,霜火手套,T3
22502,霜火腰带,T3
22503,霜火腕轮,T3
22504,瘟疫之心长袍,T3
22505,瘟疫之心护腿,T3
22506,瘟疫之心头饰,T3
22507,瘟疫之心肩垫,T3
22508,瘟疫之心便鞋,T3
22509,瘟疫之心手套,T3
22510,瘟疫之心腰带,T3
22511,瘟疫之心腕轮,T3
22512,信仰长袍,T3
22513,信仰护腿,T3
22514,信仰头环,T3
22515,信仰肩垫,T3
22516,信仰便鞋,T3
22517,信仰手套,T3
22518,信仰腰带,T3
22519,信仰腕轮,T3
16818,灵风腰带,T2
16832,血牙肩甲,T2
16897,怒风胸甲,T2
16898,怒风长靴,T2
16899,怒风护手,T2
16900,怒风头巾,T2
16901,怒风腿甲,T2
16902,怒风肩甲,T2
16903,怒风腰带,T2
16904,怒风护腕,T2
16905,血牙胸甲,T2
16906,血牙长靴,T2
16907,血牙手套,T2
16908,血牙头巾,T2
16909,血牙短裤,T2
16910,血牙腰带,T2
16911,血牙护腕,T2
16912,灵风长靴,T2
16913,灵风手套,T2
16914,灵风头冠,T2
16915,灵风短裤,T2
16916,灵风长袍,T2
16917,灵风衬肩,T2
16918,灵风束腕,T2
16919,卓越长靴,T2
16920,卓越护手,T2
16921,卓越之环,T2
16922,卓越护腿,T2
16923,卓越法袍,T2
16924,卓越肩铠,T2
16925,卓越腰带,T2
16926,卓越束腕,T2
16927,复仇战靴,T2
16928,复仇手套,T2
16929,复仇骨帽,T2
16930,复仇护腿,T2
16931,复仇法袍,T2
16932,复仇肩铠,T2
16933,复仇腰带,T2
16934,复仇护腕,T2
16935,巨龙追猎者护腕,T2
16936,巨龙追猎者腰带,T2
16937,巨龙追猎者肩甲,T2
16938,巨龙追猎者腿甲,T2
16939,巨龙追猎者头盔,T2
16940,巨龙追猎者护手,T2
16941,巨龙追猎者胫甲,T2
16942,巨龙追猎者胸甲,T2
16943,无尽风暴护腕,T2
16944,无尽风暴腰带,T2
16945,无尽风暴肩饰,T2
16946,无尽风暴护腿,T2
16947,无尽风暴头盔,T2
16948,无尽风暴护手,T2
16949,无尽风暴胫甲,T2
16950,无尽风暴胸甲,T2
16951,审判束腕,T2
16952,审判腰带,T2
16953,审判肩铠,T2
16954,审判腿铠,T2
16955,审判头冠,T2
16956,审判护手,T2
16957,审判马靴,T2
16958,审判胸甲,T2
16959,愤怒护腕,T2
16960,愤怒腰带,T2
16961,愤怒肩铠,T2
16962,愤怒腿铠,T2
16963,愤怒头盔,T2
16964,愤怒护手,T2
16965,愤怒马靴,T2
16966,愤怒胸甲,T2
21329,征服者的皇冠,T2.5
21330,征服者的肩铠,T2.5
21331,征服者的胸甲,T2.5
21332,征服者的腿铠,T2.5
21333,征服者的胫甲,T2.5
21334,厄运召唤者的长袍,T2.5
21335,厄运召唤者的衬肩,T2.5
21336,厄运召唤者的长裤,T2.5
21337,厄运召唤者的头饰,T2.5
21338,厄运召唤者的裹足,T2.5
21343,神秘长袍,T2.5
21344,神秘长靴,T2.5
21345,神秘肩垫,T2.5
21346,神秘护腿,T2.5
21347,神秘头饰,T2.5
21348,神谕者的头冠,T2.5
21349,神谕者的裹足,T2.5
21350,神谕者的外套,T2.5
21351,神谕者的外衣,T2.5
21352,神谕者的长裤,T2.5
21353,起源头盔,T2.5
21354,起源肩垫,T2.5
21355,起源长靴,T2.5
21356,起源长裤,T2.5
21357,起源外套,T2.5
21359,死亡执行者的长靴,T2.5
21360,死亡执行者的头盔,T2.5
21361,死亡执行者的护肩,T2.5
21362,死亡执行者的护腿,T2.5
