ID,Name,Category,Description
5462,达图尔的变形魔棒,坐骑宠物玩具,变成熊怪(联盟专属任务道具)
11026,树蛙盒,坐骑宠物玩具,青蛙小宠物(暗月马戏团)
11027,林蛙盒,坐骑宠物玩具,青蛙小宠物(暗月马戏团)
13086,冬泉霜刃豹缰绳,坐骑宠物玩具,史诗坐骑(冬泉谷)
17202,雪球,坐骑宠物玩具,砸人互动玩具(冬幕节)
17712,冬幕伪装包,坐骑宠物玩具,把你变成一个雪人(冬幕节)
20397,万圣节魔棒 - 海盗,坐骑宠物玩具,万圣节变形玩具
20398,万圣节魔棒 - 忍者,坐骑宠物玩具,万圣节变形玩具
20399,万圣节魔棒 - 麻风侏儒,坐骑宠物玩具,万圣节变形玩具
20409,万圣节魔棒 - 幽灵,坐骑宠物玩具,万圣节变形玩具
20410,万圣节魔棒 - 蝙蝠,坐骑宠物玩具,万圣节变形玩具
20411,万圣节魔棒 - 骷髅,坐骑宠物玩具,万圣节变形玩具
20413,万圣节魔棒 - 随机,坐骑宠物玩具,万圣节变形玩具
20414,万圣节魔棒 - 小精灵,坐骑宠物玩具,万圣节变形玩具
20557,万圣节南瓜糖,坐骑宠物玩具,随机万圣节增益(变大、加速等)
21038,大雪球,坐骑宠物玩具,砸人互动玩具(奥特兰克山谷)
21540,艾露恩的灯笼,坐骑宠物玩具,制造月光石玩具(春节)
22218,一堆玫瑰花瓣,坐骑宠物玩具,撒花瓣特效玩具(情人节)
23246,节日火酒,坐骑宠物玩具,随机火焰节增益(节日玩具)
2901,矿工锄,工具,采矿必备
7005,剥皮小刀,工具,剥皮必备
9149,点金石,工具,炼金转化必备工具
9240,祖尔法拉克之槌,工具,祖尔法拉克敲锣锤
10818,叶基亚的卷轴,工具,祖尔法拉克控制石像
11511,塞纳里奥信标,工具,打怪掉落各种植物种子(费伍德)
12384,玛艾里的容器,工具,打怪掉落魂精(冬泉谷)
17191,塞雷布拉斯节杖,工具,玛拉顿传送门钥匙
17333,水之精萃,工具,灭火(熔火之心)
22754,永恒精萃,工具,永久灭火(熔火之心)
184937,时光祝福置换器,工具,释放世界buff
184938,超级充能的时光祝福置换器,工具,收纳世界buff
212160,时光祝福置换器,工具,释放世界buff
17849,雷矛军旗,战场,战场专属，提供生命值加成
17850,霜狼军旗,战场,战场专属，提供生命值加成
18839,作战治疗药水,战场,战场专属治疗药水
18841,作战法力药水,战场,战场专属法力药水
19045,雷矛军旗,战场,战场专属，高级军旗
19046,霜狼军旗,战场,战场专属，高级军旗
20558,战歌峡谷荣誉奖章,战场,战歌峡谷胜利或失败获取
20559,阿拉希盆地荣誉奖章,战场,阿拉希盆地胜利或失败获取
20560,奥特兰克山谷荣誉奖章,战场,奥特兰克山谷胜利或失败获取
17056,轻羽毛,材料,施放法术材料
6948,炉石,工具,回城工具
12344,晋升印章,工具
6219,弧光扳手,工具
21171,装满的节日酒杯,工具
10498,侏儒微调器,工具
16309,龙火护符,工具,黑龙MM门钥匙
5956,铁匠之锤,工具,锻造必备
21536,艾露恩之石,坐骑宠物玩具,制造月光特效
17232,砍下来的圣诞树,坐骑宠物玩具,冬幕节
