ID,Name,Category
17193,萨弗隆战锤,武器-双手
943,典狱官法杖,武器-双手
17070,秘法之牙,武器-单手
19358,龙人之槌,武器-双手
19360,洛卡米尔·伊洛曼希斯,武器-单手
19312,生命花环,武器-副手
21268,神圣其拉战锤,武器-单手
21839,虚妄预言者节杖,武器-单手
21666,沙尔图拉的力量,武器-副手
22988,梦境之末,武器-单手
23056,扭曲虚空之锤,武器-单手
23048,萨菲隆的右眼,武器-副手
18842,统御法杖,武器-双手
19308,奥术统御宝典,武器-副手
21597,维克洛尔皇家节杖,武器-副手
23049,萨菲隆的左眼,武器-副手
18832,残忍利刃,武器-单手
18805,熔火犬牙,武器-单手
18713,伦鲁迪洛尔，上古守护者的长弓,武器-远程
19361,埃瑟利苏尔，惩戒之弩,武器-远程
19859,无面者之牙,武器-单手
21673,异种虫爪,武器-单手
22816,碎裂白骨战斧,武器-单手
22802,帝殒,武器-单手
22812,蛛魔制奴者,武器-远程
17103,碧空之歌,武器-单手
19130,冰冷魔棒,武器-远程
19356,暗影烈焰法杖,武器-双手
21622,锋利的异种虫腿,武器-单手
21603,其拉贵族魔杖,武器-远程
22807,怨灵之刃,武器-单手
22821,厄运之指,武器-远程
23075,死亡的契约,武器-副手
17076,削骨之刃,武器-双手
19334,狂野之刃,武器-双手
21134,疯狂黑暗之刃,武器-双手
22691,堕落的灰烬使者,武器-双手
17066,钻孔虫之碟,武器-副手
19349,源质壁垒,武器-副手
21269,神圣其拉壁垒,武器-副手
22818,瘟疫携带者,武器-副手
18608,祈福,武器-双手
18609,咒逐,武器-双手
19435,精华收集者,武器-远程
19366,屠龙大师宝珠,武器-副手
19861,混乱之触,武器-远程
23009,秘语亡者之杖,武器-远程
14555,亚考尔的阳炎刀,武器-单手
17075,放血者维斯卡格,武器-单手
17069,速射强弓,武器-远程
18816,毁灭之刃,武器-单手
19352,多彩之剑,武器-单手
19351,玛拉达斯，黑龙军团的符文之剑,武器-单手
21650,上古其拉撕裂者,武器-单手
21126,死亡之钉,武器-单手
21244,神圣其拉短剑,武器-单手
23054,格雷希尔，毁灭之黎明,武器-单手
23577,饥饿之寒,武器-单手
19347,克洛玛古斯之爪,武器-单手
21610,虫鳞阻挡者,武器-副手
22819,谴责之盾,武器-副手
17104,脊骨收割者,武器-双手
22798,米奈希尔之力,武器-双手
22820,命运魔杖,武器-远程
811,密林战斧,武器-单手
871,风暴战斧,武器-单手
17068,死亡召唤者,武器-单手
18348,奎尔塞拉,武器-单手
19363,克鲁索洛克恩，混乱之刃,武器-单手
19362,末日之刃,武器-单手
19335,碎脊者,武器-单手
19368,龙息手持火炮,武器-远程
21242,神圣其拉战斧,武器-单手
23043,死亡的面孔,武器-副手
