ID,Name,Category
13968,比斯巨兽之眼,首饰-法系
18814,火焰之王的项圈,首饰-法系
18820,短暂能量护符,首饰-法系
19339,思维加速宝石,首饰-法系
19379,奈萨里奥之泪,首饰-法系
19434,黑暗统御指环,首饰-法系
19950,赞达拉英雄护符,首饰-法系
20632,心灵之泪,首饰-法系
21190,塞纳留斯之怒,首饰-法系
21210,青铜龙军团的徽记之戒,首饰-法系
21709,堕落神明之戒,首饰-法系
21836,混乱之琉璃戒指,首饰-法系
22943,仇恨石坠,首饰-法系
23001,衰落之眼,首饰-法系
23025,诅咒者的徽记,首饰-法系
23031,命运之戒,首饰-法系
23046,萨菲隆的精华,首饰-法系
23057,无辜囚徒宝石,首饰-法系
23207,勇士印记,首饰-法系
23237,永恒烈焰之戒,首饰-法系
19288,暗月卡片：蓝龙,首饰-治疗
19382,纯源质指环,首饰-治疗
19395,恢复宝石,首饰-治疗
20636,休眠水晶,首饰-治疗
23036,尸身项链,首饰-治疗
23047,亡者之眼,首饰-治疗
23061,信仰之戒,首饰-治疗
2246,侍从的徽记,首饰-物理
17065,稳固之力勋章,首饰-防御
18879,沉重的黑铁戒指,首饰-防御
18404,奥妮克希亚龙牙坠饰,首饰-物理
17063,埃古雷亚指环,首饰-物理
19140,灼烧指环,首饰-治疗
19376,阿基迪罗斯的清算之戒,首饰-防御
19377,普瑞斯托的阴谋饰物,首饰-物理
19384,屠龙大师之戒,首饰-物理
19432,源力之环,首饰-物理
19406,龙牙饰物,首饰-物理
19885,金度的邪眼,首饰-治疗
22732,克苏恩的印记,首饰-防御
21601,维克洛尔大帝之戒,首饰-防御
21205,青铜龙军团的徽记之戒,首饰-物理
21712,堕落神明咒符,首饰-治疗
21620,殉难者之戒,首饰-治疗
23018,堕落卫士的徽记,首饰-防御
23038,超自然能量指环,首饰-物理
23041,屠龙者的纹章,首饰-物理
22939,徒劳祈祷之戒,首饰-治疗
23027,宽恕的热情,首饰-治疗
19147,法术能量之戒,首饰-法系
19403,专注指环,首饰-法系
21608,维克尼拉斯的咒符,首饰-法系
18821,迅击戒指,首饰-物理
19325,胡里奥指环,首饰-物理
21670,虫群卫士徽章,首饰-物理
23570,沙虫之毒,首饰-物理
23053,怒风的沸腾符咒,首饰-物理
22961,鼓舞之戒,首饰-物理
942,寒冰指环,首饰-物理
19289,暗月卡片：漩涡,首饰-物理
18406,奥妮克希亚龙血护符,首饰-防御
19383,屠龙大师勋章,首饰-防御
19431,斯泰林的甲虫壳,首饰-防御
21200,青铜龙军团的徽记之戒,首饰-防御
22954,蜘蛛之吻,首饰-物理
19397,黑石之戒,首饰-法系
19344,自然之盟水晶,首饰-法系
19371,龙魂坠饰,首饰-治疗
21707,风暴思绪之戒,首饰-法系
21681,吞噬者之戒,首饰-治疗
